Date,Close,Prediction
2021-01-01,14018.5,13945.663
2021-01-04,14132.900390625,13960.749
2021-01-05,14199.5,13978.898
2021-01-06,14146.25,14085.337
2021-01-07,14137.349609375,14150.016
2021-01-08,14347.25,14154.526
2021-01-11,14484.75,14252.856
2021-01-12,14563.4501953125,14321.917
2021-01-13,14564.849609375,14506.465
2021-01-14,14595.599609375,14416.969
2021-01-15,14433.7001953125,14467.144
2021-01-18,14281.2998046875,14327.167
2021-01-19,14521.150390625,14172.367
2021-01-20,14644.7001953125,14307.354
2021-01-21,14590.349609375,14450.723
2021-01-22,14371.900390625,14418.3545
2021-01-25,14238.900390625,14292.545
2021-01-27,13967.5,14142.299
2021-01-28,13817.5498046875,13907.164
2021-01-29,13634.599609375,13771.184
2021-02-01,14281.2001953125,13566.285
2021-02-02,14647.849609375,13877.077
2021-02-03,14789.9501953125,14366.749
2021-02-04,14895.650390625,14580.742
2021-02-05,14924.25,14685.447
2021-02-08,15115.7998046875,14799.619
2021-02-09,15109.2998046875,14915.092
2021-02-10,15106.5,14900.383
2021-02-11,15173.2998046875,14878.858
2021-02-12,15163.2998046875,14986.793
2021-02-15,15314.7001953125,15032.944
2021-02-16,15313.4501953125,15117.998
2021-02-17,15208.900390625,15141.958
2021-02-18,15118.9501953125,15059.093
2021-02-19,14981.75,15003.839
2021-02-22,14675.7001953125,14837.841
2021-02-23,14707.7998046875,14619.697
2021-02-24,14982.0,14520.698
2021-02-25,15097.349609375,14632.571
2021-02-26,14529.150390625,14802.153
2021-03-01,14761.5498046875,14489.926
2021-03-02,14919.099609375,14549.862
2021-03-03,15245.599609375,14680.942
2021-03-04,15080.75,14790.808
2021-03-05,14938.099609375,14803.085
2021-03-08,14956.2001953125,14852.84
2021-03-09,15098.400390625,14763.179
2021-03-10,15174.7998046875,14940.02
2021-03-12,15030.9501953125,15003.13
2021-03-15,14929.5,14955.651
2021-03-16,14910.4501953125,14799.839
2021-03-17,14721.2998046875,14730.466
2021-03-18,14557.849609375,14635.263
2021-03-19,14744.0,14568.334
2021-03-22,14736.400390625,14594.997
2021-03-23,14814.75,14583.371
2021-03-24,14549.400390625,14565.479
2021-03-25,14324.900390625,14455.354
2021-03-26,14507.2998046875,14277.456
2021-03-30,14845.099609375,14385.936
2021-03-31,14690.7001953125,14597.176
2021-04-01,14867.349609375,14514.75
2021-04-05,14637.7998046875,14672.3125
2021-04-06,14683.5,14507.309
2021-04-07,14819.0498046875,14481.81
2021-04-08,14873.7998046875,14564.498
2021-04-09,14834.849609375,14770.102
2021-04-12,14310.7998046875,14687.922
2021-04-13,14504.7998046875,14376.947
2021-04-15,14581.4501953125,14373.298
2021-04-16,14617.849609375,14422.507
2021-04-19,14359.4501953125,14421.914
2021-04-20,14296.400390625,14305.558
2021-04-22,14406.150390625,14212.029
2021-04-23,14341.349609375,14263.488
2021-04-26,14485.0,14287.964
2021-04-27,14653.0498046875,14387.012
2021-04-28,14864.5498046875,14496.235
2021-04-29,14894.900390625,14691.413
2021-04-30,14631.099609375,14784.647
2021-05-03,14634.150390625,14646.864
2021-05-04,14496.5,14534.74
2021-05-05,14617.849609375,14453.342
2021-05-06,14724.7998046875,14522.741
2021-05-07,14823.150390625,14606.484
2021-05-10,14942.349609375,14725.088
2021-05-11,14850.75,14778.118
2021-05-12,14696.5,14814.068
2021-05-14,14677.7998046875,14642.402
2021-05-17,14923.150390625,14653.395
2021-05-18,15108.099609375,14742.568
2021-05-19,15030.150390625,14883.898
2021-05-20,14906.0498046875,14898.418
2021-05-21,15175.2998046875,14809.084
2021-05-24,15197.7001953125,14971.526
2021-05-25,15208.4501953125,15069.05
2021-05-26,15301.4501953125,15008.022
2021-05-27,15337.849609375,15116.32
2021-05-28,15435.650390625,15098.135
2021-05-31,15582.7998046875,15297.325
2021-06-01,15574.849609375,15369.983
2021-06-02,15576.2001953125,15402.331
2021-06-03,15690.349609375,15438.022
2021-06-04,15670.25,15523.038
2021-06-07,15751.650390625,15550.784
2021-06-08,15740.099609375,15592.29
2021-06-09,15635.349609375,15566.151
2021-06-10,15737.75,15532.614
2021-06-11,15799.349609375,15553.765
2021-06-14,15811.849609375,15589.695
2021-06-15,15869.25,15616.677
2021-06-16,15767.5498046875,15636.693
2021-06-17,15691.400390625,15594.808
2021-06-18,15683.349609375,15545.52
2021-06-21,15746.5,15474.62
2021-06-22,15772.75,15470.763
2021-06-23,15686.9501953125,15598.878
2021-06-24,15790.4501953125,15527.189
2021-06-25,15860.349609375,15591.614
2021-06-28,15814.7001953125,15649.912
2021-06-29,15748.4501953125,15616.356
2021-06-30,15721.5,15578.976
