Date,Close,Prediction
2021-05-03,14634.150390625,14517.933
2021-05-04,14496.5,14509.365
2021-05-05,14617.849609375,14493.969
2021-05-06,14724.7998046875,14564.726
2021-05-07,14823.150390625,14686.443
2021-05-10,14942.349609375,14806.074
2021-05-11,14850.75,14919.678
2021-05-12,14696.5,14724.605
2021-05-14,14677.7998046875,14628.075
2021-05-17,14923.150390625,14613.862
2021-05-18,15108.099609375,14894.745
2021-05-19,15030.150390625,15108.51
2021-05-20,14906.0498046875,14941.117
2021-05-21,15175.2998046875,14851.314
2021-05-24,15197.7001953125,15142.365
2021-05-25,15208.4501953125,15145.71
2021-05-26,15301.4501953125,15167.974
2021-05-27,15337.849609375,15236.217
2021-05-28,15435.650390625,15279.345
2021-05-31,15582.7998046875,15413.251
2021-06-01,15574.849609375,15493.199
2021-06-02,15576.2001953125,15537.545
2021-06-03,15690.349609375,15455.264
2021-06-04,15670.25,15662.946
2021-06-07,15751.650390625,15583.289
2021-06-08,15740.099609375,15690.944
2021-06-09,15635.349609375,15645.709
2021-06-10,15737.75,15554.823
2021-06-11,15799.349609375,15667.428
2021-06-14,15811.849609375,15740.797
2021-06-15,15869.25,15651.305
2021-06-16,15767.5498046875,15839.98
2021-06-17,15691.400390625,15652.693
2021-06-18,15683.349609375,15567.552
2021-06-21,15746.5,15556.107
2021-06-22,15772.75,15604.513
2021-06-23,15686.9501953125,15760.195
2021-06-24,15790.4501953125,15597.735
2021-06-25,15860.349609375,15714.246
2021-06-28,15814.7001953125,15774.449
2021-06-29,15748.4501953125,15743.606
2021-06-30,15721.5,15650.919
2021-07-01,15680.0,15668.269
2021-07-02,15722.2001953125,15593.718
2021-07-05,15834.349609375,15631.146
2021-07-06,15818.25,15781.557
2021-07-07,15879.650390625,15745.14
2021-07-08,15727.900390625,15772.754
2021-07-09,15689.7998046875,15624.708
2021-07-12,15692.599609375,15571.205
2021-07-13,15812.349609375,15637.238
2021-07-14,15853.9501953125,15743.564
2021-07-15,15924.2001953125,15738.82
2021-07-16,15923.400390625,15853.281
2021-07-19,15752.400390625,15824.054
2021-07-20,15632.099609375,15590.412
2021-07-22,15824.0498046875,15524.483
2021-07-23,15856.0498046875,15788.039
2021-07-26,15824.4501953125,15748.508
2021-07-27,15746.4501953125,15731.991
2021-07-28,15709.400390625,15652.098
2021-07-29,15778.4501953125,15546.949
2021-07-30,15763.0498046875,15742.855
2021-08-02,15885.150390625,15679.0
2021-08-03,16130.75,15823.22
2021-08-04,16258.7998046875,16048.966
2021-08-05,16294.599609375,16189.673
2021-08-06,16238.2001953125,16177.672
2021-08-09,16258.25,16137.456
2021-08-10,16280.099609375,16146.298
2021-08-11,16282.25,16183.512
2021-08-12,16364.400390625,16152.854
2021-08-13,16529.099609375,16277.293
2021-08-16,16563.05078125,16433.32
2021-08-17,16614.599609375,16437.943
2021-08-18,16568.849609375,16479.166
2021-08-20,16450.5,16482.652
2021-08-23,16496.44921875,16244.747
2021-08-24,16624.599609375,16440.795
2021-08-25,16634.650390625,16508.455
2021-08-26,16636.900390625,16546.033
2021-08-27,16705.19921875,16505.066
2021-08-30,16931.05078125,16565.027
2021-08-31,17132.19921875,16859.355
2021-09-01,17076.25,16996.543
2021-09-02,17234.150390625,16966.07
2021-09-03,17323.599609375,17074.29
2021-09-06,17377.80078125,17188.896
2021-09-07,17362.099609375,17258.656
2021-09-08,17353.5,17188.947
2021-09-09,17369.25,17179.4
2021-09-13,17355.30078125,17211.8
2021-09-14,17380.0,17179.29
2021-09-15,17519.44921875,17273.86
2021-09-16,17629.5,17367.375
2021-09-17,17585.150390625,17488.113
2021-09-20,17396.900390625,17468.316
2021-09-21,17562.0,17179.1
2021-09-22,17546.650390625,17401.41
2021-09-23,17822.94921875,17400.586
2021-09-24,17853.19921875,17717.932
2021-09-27,17855.099609375,17704.76
2021-09-28,17748.599609375,17684.994
2021-09-29,17711.30078125,17526.994
2021-09-30,17618.150390625,17525.928
2021-10-01,17532.05078125,17461.176
2021-10-04,17691.25,17297.697
2021-10-05,17822.30078125,17617.057
2021-10-06,17646.0,17616.39
2021-10-07,17790.349609375,17494.85
2021-10-08,17895.19921875,17703.057
2021-10-11,17945.94921875,17751.686
2021-10-12,17991.94921875,17777.193
2021-10-13,18161.75,17787.186
2021-10-14,18338.55078125,18057.426
2021-10-18,18477.05078125,18192.234
2021-10-19,18418.75,18365.61
2021-10-20,18266.599609375,18225.332
2021-10-21,18178.099609375,18039.871
2021-10-22,18114.900390625,17994.627
2021-10-25,18125.400390625,17948.291
2021-10-26,18268.400390625,17936.205
2021-10-27,18210.94921875,18111.63
2021-10-28,17857.25,18029.002
2021-10-29,17671.650390625,17603.436
2021-11-01,17929.650390625,17495.889
2021-11-02,17888.94921875,17807.062
2021-11-03,17829.19921875,17726.336
2021-11-04,17916.80078125,17655.729
2021-11-08,18068.55078125,17786.596
2021-11-09,18044.25,17879.244
2021-11-10,18017.19921875,17868.617
2021-11-11,17873.599609375,17791.01
2021-11-12,18102.75,17650.148
2021-11-15,18109.44921875,17985.184
2021-11-16,17999.19921875,17940.266
2021-11-17,17898.650390625,17785.533
2021-11-18,17764.80078125,17709.803
2021-11-22,17416.55078125,17564.525
2021-11-23,17503.349609375,17194.006
2021-11-24,17415.05078125,17281.504
2021-11-25,17536.25,17299.508
2021-11-26,17026.44921875,17339.912
2021-11-29,17053.94921875,16748.127
2021-11-30,16983.19921875,16881.008
2021-12-01,17166.900390625,16933.516
2021-12-02,17401.650390625,17041.684
2021-12-03,17196.69921875,17254.701
2021-12-06,16912.25,17057.404
2021-12-07,17176.69921875,16720.912
2021-12-08,17469.75,17118.982
2021-12-09,17516.849609375,17387.951
2021-12-10,17511.30078125,17325.111
2021-12-13,17368.25,17326.969
2021-12-14,17324.900390625,17269.75
2021-12-15,17221.400390625,17095.967
2021-12-16,17248.400390625,17097.115
2021-12-17,16985.19921875,17144.527
2021-12-20,16614.19921875,16827.713
2021-12-21,16770.849609375,16309.749
2021-12-22,16955.44921875,16812.99
2021-12-23,17072.599609375,16808.527
2021-12-24,17003.75,16994.322
2021-12-27,17086.25,16835.416
2021-12-28,17233.25,16883.533
2021-12-29,17213.599609375,17166.355
2021-12-30,17203.94921875,17038.86
2021-12-31,17354.05078125,17058.504
2022-01-03,17625.69921875,17243.48
2022-01-04,17805.25,17491.172
2022-01-05,17925.25,17642.936
2022-01-06,17745.900390625,17739.037
2022-01-07,17812.69921875,17456.502
2022-01-10,18003.30078125,17700.322
2022-01-11,18055.75,17854.6
2022-01-12,18212.349609375,17856.502
2022-01-13,18257.80078125,18083.78
2022-01-14,18255.75,18037.938
2022-01-17,18308.099609375,18017.592
2022-01-18,18113.05078125,18125.057
2022-01-19,17938.400390625,17901.104
2022-01-20,17757.0,17713.736
2022-01-21,17617.150390625,17529.023
2022-01-24,17149.099609375,17366.902
2022-01-25,17277.94921875,16917.35
2022-01-27,17110.150390625,17015.092
2022-01-28,17101.94921875,16852.309
2022-01-31,17339.849609375,17082.09
2022-02-01,17576.849609375,17243.729
2022-02-02,17780.0,17404.04
2022-02-03,17560.19921875,17688.863
2022-02-04,17516.30078125,17321.994
2022-02-07,17213.599609375,17362.193
2022-02-08,17266.75,17000.05
2022-02-09,17463.80078125,17089.809
2022-02-10,17605.849609375,17392.71
2022-02-11,17374.75,17445.367
2022-02-14,16842.80078125,17105.2
2022-02-15,17352.44921875,16555.674
2022-02-16,17322.19921875,17287.26
2022-02-17,17304.599609375,17194.168
2022-02-18,17276.30078125,17147.926
2022-02-21,17206.650390625,17110.014
2022-02-22,17092.19921875,17015.44
2022-02-23,17063.25,16792.889
2022-02-24,16247.9501953125,17013.018
2022-02-25,16658.400390625,15834.741
2022-02-28,16793.900390625,16760.646
2022-03-02,16605.94921875,16481.748
2022-03-03,16498.05078125,16417.229
2022-03-04,16245.349609375,16425.95
2022-03-07,15863.150390625,16003.065
2022-03-08,16013.4501953125,15561.023
2022-03-09,16345.349609375,15887.647
2022-03-10,16594.900390625,16277.297
2022-03-11,16630.44921875,16605.2
2022-03-14,16871.30078125,16419.44
2022-03-15,16663.0,16770.188
2022-03-16,16975.349609375,16504.664
2022-03-17,17287.05078125,16951.428
2022-03-21,17117.599609375,17270.348
2022-03-22,17315.5,16955.805
2022-03-23,17245.650390625,17153.867
2022-03-24,17222.75,17167.414
2022-03-25,17153.0,17005.66
2022-03-28,17222.0,17045.05
2022-03-29,17325.30078125,17027.076
2022-03-30,17498.25,17238.686
2022-03-31,17464.75,17400.172
2022-04-01,17670.44921875,17312.12
2022-04-04,18053.400390625,17514.143
2022-04-05,17957.400390625,17998.416
2022-04-06,17807.650390625,17731.592
2022-04-07,17639.55078125,17576.299
2022-04-08,17784.349609375,17451.047
2022-04-11,17674.94921875,17640.588
2022-04-12,17530.30078125,17479.176
2022-04-13,17475.650390625,17285.217
2022-04-18,17173.650390625,17390.285
2022-04-19,16958.650390625,16810.965
2022-04-20,17136.55078125,16871.613
2022-04-21,17392.599609375,17013.77
2022-04-22,17171.94921875,17303.361
2022-04-25,16953.94921875,16931.828
2022-04-26,17200.80078125,16725.488
2022-04-27,17038.400390625,17161.965
2022-04-28,17245.05078125,16777.385
2022-04-29,17102.55078125,17202.713
2022-05-02,17069.099609375,16957.1
2022-05-04,16677.599609375,16827.672
2022-05-05,16682.650390625,16563.887
2022-05-06,16411.25,16630.426
2022-05-09,16301.849609375,16120.038
2022-05-10,16240.0498046875,16155.478
2022-05-11,16167.099609375,16152.902
2022-05-12,15808.0,16002.349
2022-05-13,15782.150390625,15617.946
